id,name,youtube_url,cover_url,artist_id,created_at,album_id,preview_url
27,Menghapus Jejakmu,nGMP3kYq2bE,https://i.scdn.co/image/ab67616d00001e02076747ead143aa3cd8c1d2f0,1,2023-01-04 06:07:37.915086+00,2,https://p.scdn.co/mp3-preview/e4802e7f358039bb15eaced6211fb4bb9c44c8c1
1,Hari Yang Cerah,fuEdMCclYn0,https://i.scdn.co/image/ab67616d00001e02076747ead143aa3cd8c1d2f0,1,2022-07-06 10:36:12+00,2,https://p.scdn.co/mp3-preview/08bd5940bc2031c8c93306cccb32d5b9756fdc53
28,Dibalik Awan,8wPuuSa7DG8,https://i.scdn.co/image/ab67616d00001e02076747ead143aa3cd8c1d2f0,1,2023-01-04 06:07:55.026307+00,2,https://p.scdn.co/mp3-preview/18695104da611068db72428496fbfdbd4369203b
21,Ada Apa Denganmu,sEM01iNOSQA,https://i.scdn.co/image/ab67616d00001e02af69d9e82cc973f608481610,1,2023-01-04 06:04:09.397488+00,1,https://p.scdn.co/mp3-preview/c6e19c3e7e0af8cf26f54b41468b1b0121166f11
22,Mungkin Nanti,SWcMwUySDvI,https://i.scdn.co/image/ab67616d00001e02af69d9e82cc973f608481610,1,2023-01-04 06:04:32.446516+00,1,https://p.scdn.co/mp3-preview/874ad06ded337fa74144ee3e18efe00b203de178
24,Di Belakangku,0Wd7PCWK6rs,https://i.scdn.co/image/ab67616d00001e02af69d9e82cc973f608481610,1,2023-01-04 06:05:16.270771+00,1,https://p.scdn.co/mp3-preview/bf6b7504a4add5a5e5a5bdadae0554449b28843e
8,Dont Cry,zRIbf6JqkNc,https://i.scdn.co/image/ab67616d0000b273bdba586eb69c503f7ff7d658,2,2022-07-06 10:41:07+00,7,https://p.scdn.co/mp3-preview/34a693fa6d6a033cb0b2f8b4828a0e6781db7729
11,A Head Full Of Dreams,vGZMvV9KBp8,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6,3,2022-07-06 14:48:43+00,9,https://p.scdn.co/mp3-preview/a5de5c8bb9e27204d232b6e62b23a82d4cc5a7d9
12,Fix You,k4V3Mo61fJM,https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651,3,2022-07-06 14:49:27+00,10,https://p.scdn.co/mp3-preview/9263804f340b5ab87ac1456a1b104e02fc79b229
25,Kukatakan Dengan Indah,GrwXogA8Gxg,https://i.scdn.co/image/ab67616d00001e02af69d9e82cc973f608481610,1,2023-01-04 06:05:47.841574+00,1,https://p.scdn.co/mp3-preview/a108c27d2ded471c0644a540b693dd52d13d7b98
2,Bintang Di Surga,B1ynHmn0XZ4,https://i.scdn.co/image/ab67616d00001e02af69d9e82cc973f608481610,1,2022-07-06 10:38:10+00,1,https://p.scdn.co/mp3-preview/09474fc657c15038cb699afa4a52b4fac9383d62
20,Topeng,palz438KT3Y,https://i.scdn.co/image/ab67616d0000b27324496b7707e9304c4ad76c5a,1,2023-01-04 06:02:50.41017+00,3,https://p.scdn.co/mp3-preview/7da40111f9d28915b7a9357495040770e9f79e6a
6,Sweet Child of Mine,1w7OgIMMRc4,https://i.scdn.co/image/ab67616d0000b273e44963b8bb127552ac761873,2,2022-07-06 10:40:13+00,6,https://p.scdn.co/mp3-preview/92ac4ba7bc8ed36373b795b5b9ffe7e37468cc4f
14,The Scientist,RB-RcX5DS5A,https://i.scdn.co/image/ab67616d0000b27340b57befa24e9fe0e888f4a1,3,2022-07-06 15:04:01+00,12,https://p.scdn.co/mp3-preview/d5be3c3e98fc9d1612f0f051ca8f98766c709c54
15,Paradise,1G4isv_Fylg,https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d,3,2022-07-07 12:37:37+00,13,https://p.scdn.co/mp3-preview/48fd7e9e99a1af02d42769d4b8c781a6de74c020
31,Membebaniku,i-8PqFReWLg,https://i.scdn.co/image/ab67616d00001e02d945ace4a7fb61330e08a912,1,2023-01-04 06:10:32.259348+00,14,https://p.scdn.co/mp3-preview/7f2decd8739dbee1de0d330b354bd536cab1fc5a
